run,R,t_to_thr_base,t_recover,residual_base,residual,domain
0,2.664535259100376e-15,0.0,0.0,4.9858063559503085,4.964095080362181,spacecraft
1,2.8310687127941488e-15,0.0,0.0,4.939812128514764,4.922262194270781,spacecraft
2,3.885780586188048e-15,0.0,0.0,4.921779127586,4.902332920952084,spacecraft
3,,0.0,0.0,3.874062781540077,3.874062781540077,spacecraft
4,2.55351295663786e-15,0.0,0.0,4.789940217943945,4.780235547980336,spacecraft
5,,0.0,0.0,3.706982933053248,3.706982933053248,spacecraft
6,,0.0,0.0,4.559879285404898,4.559879285404898,spacecraft
7,,0.0,0.0,3.991478902247288,3.991478902247288,spacecraft
8,2.886579864025407e-15,0.0,0.0,4.7040346057577045,4.701387276968651,spacecraft
9,,0.0,0.0,4.182211796289382,4.182211796289382,spacecraft
10,,0.0,0.0,4.347835192403167,4.347835192403167,spacecraft
11,,0.0,0.0,4.5648436551590255,4.5648436551590255,spacecraft
12,,0.0,0.0,4.404667121601593,4.404667121601593,spacecraft
13,,0.0,0.0,4.180715917661192,4.180715917661192,spacecraft
14,2.720046410331633e-15,0.0,0.0,4.922377699564787,4.9089461306849245,spacecraft
15,,0.0,0.0,4.314620172663444,4.314620172663444,spacecraft
16,2.664535259100376e-15,0.0,0.0,4.891198940531561,4.880417361818264,spacecraft
17,,0.0,0.0,4.4632262748024845,4.4632262748024845,spacecraft
18,,0.0,0.0,4.519255976802782,4.519255976802782,spacecraft
19,,0.0,0.0,3.571952091403712,3.571952091403712,spacecraft
20,,0.0,0.0,4.181435681940712,4.181435681940712,spacecraft
21,,0.0,0.0,3.871567885576583,3.871567885576583,spacecraft
22,,0.0,0.0,4.0327076239391655,4.0327076239391655,spacecraft
23,2.664535259100376e-15,0.0,0.0,4.786411182838804,4.7777301972291495,spacecraft
24,,0.0,0.0,4.162176947853165,4.162176947853165,spacecraft
25,,0.0,0.0,3.750260365168218,3.750260365168218,spacecraft
26,2.7755575615628917e-15,0.0,0.0,4.741795382032871,4.736472833715993,spacecraft
27,3.719247132494274e-15,0.0,0.0,4.894840414111721,4.87868492012791,spacecraft
28,2.7755575615628917e-15,0.0,0.0,4.951325676529451,4.930773639445181,spacecraft
29,,0.0,0.0,4.444812589304018,4.444812589304018,spacecraft
